name,votes,perc,municipality,election
 Juan Dalmau Ramírez (PIP) ,  720, 8.3  ,Naguabo,G
 Eliezer Molina Pérez (Ind.) ,  52, 0.6 ,Naguabo,G
Jenniffer González Colón (PNP) ,"  3,527", 42.1  ,Naguabo,R
 Aníbal Acevedo Vilá (PPD) ,"  2,689", 32.1  ,Naguabo,R
 Ada Norah Henriquez (PD) ,"  1,035", 12.4  ,Naguabo,R
 Zayira Jordán Conde (MVC) ,  775, 9.3  ,Naguabo,R
 Luis Roberto Piñero (PIP) ,  349, 4.2,Naguabo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,083", 37.3  ,Naranjito,G
 Pedro Pierluisi (PNP) ,"  4,667", 34.2  ,Naranjito,G
 Alexandra Lúgaro (MVC) ,"  2,000", 14.7  ,Naranjito,G
 Juan Dalmau Ramírez (PIP) ,"  1,347", 9.9  ,Naranjito,G
 César Augusto Vázquez Muñiz (PD) ,  478, 3.5  ,Naranjito,G
 Eliezer Molina Pérez (Ind.) ,  63, 0.5 ,Naranjito,G
 Jenniffer González Colón (PNP) ,"  5,374", 40.5  ,Naranjito,R
 Aníbal Acevedo Vilá (PPD) ,"  4,986", 37.6  ,Naranjito,R
 Zayira Jordán Conde (MVC) ,"  1,646", 12.4  ,Naranjito,R
 Luis Roberto Piñero (PIP) ,  677, 5.1  ,Naranjito,R
 Ada Norah Henriquez (PD) ,  575, 4.3 ,Naranjito,R
 Pedro Pierluisi (PNP) ,"  4,827", 45.4  ,Orocovis,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  3,713", 34.9  ,Orocovis,G
 Alexandra Lúgaro (MVC) ,"  1,036", 9.7  ,Orocovis,G
 Juan Dalmau Ramírez (PIP) ,  751, 7.1  ,Orocovis,G
 César Augusto Vázquez Muñiz (PD) ,  264, 2.5  ,Orocovis,G
 Eliezer Molina Pérez (Ind.) ,  40, 0.4 ,Orocovis,G
Jenniffer González Colón (PNP) ,"  5,297", 51.1  ,Orocovis,R
 Aníbal Acevedo Vilá (PPD) ,"  3,556", 34.3  ,Orocovis,R
 Zayira Jordán Conde (MVC) ,  858, 8.3  ,Orocovis,R
 Luis Roberto Piñero (PIP) ,  349, 3.4  ,Orocovis,R
 Ada Norah Henriquez (PD) ,  300, 2.9  ,Orocovis,R
Pedro Pierluisi (PNP) ,"  2,784", 38.3  ,Patillas,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  2,687", 36.9  ,Patillas,G
 Juan Dalmau Ramírez (PIP) ,  844, 11.6  ,Patillas,G
 Alexandra Lúgaro (MVC) ,  617, 8.5  ,Patillas,G
 César Augusto Vázquez Muñiz (PD) ,  291, 4.0  ,Patillas,G
 Eliezer Molina Pérez (Ind.) ,  53, 0.7  ,Patillas,G
Jenniffer González Colón (PNP) ,"  3,263", 46.3  ,Patillas,R
 Aníbal Acevedo Vilá (PPD) ,"  2,439", 34.6  ,Patillas,R
 Zayira Jordán Conde (MVC) ,  538, 7.6  ,Patillas,R
 Luis Roberto Piñero (PIP) ,  415, 5.9  ,Patillas,R
 Ada Norah Henriquez (PD) ,  386, 5.5 ,Patillas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,431", 34.8  ,Peñuelas,G
 Pedro Pierluisi (PNP) ,"  3,181", 32.3  ,Peñuelas,G
 Juan Dalmau Ramírez (PIP) ,"  1,444", 14.7  ,Peñuelas,G
 Alexandra Lúgaro (MVC) ,"  1,280", 13.0  ,Peñuelas,G
 César Augusto Vázquez Muñiz (PD) ,  453, 4.6  ,Peñuelas,G
 Eliezer Molina Pérez (Ind.) ,  62, 0.6  ,Peñuelas,G
Jenniffer González Colón (PNP) ,"  3,842", 41.1  ,Peñuelas,R
 Aníbal Acevedo Vilá (PPD) ,"  3,229", 34.6  ,Peñuelas,R
 Zayira Jordán Conde (MVC) ,"  1,025", 11.0  ,Peñuelas,R
 Luis Roberto Piñero (PIP) ,  727, 7.8  ,Peñuelas,R
 Ada Norah Henriquez (PD) ,  516, 5.5,Peñuelas,R
 Pedro Pierluisi (PNP) ,"  14,858", 30.4  ,Ponce,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  14,113", 28.8  ,Ponce,G
 Juan Dalmau Ramírez (PIP) ,"  8,092", 16.5  ,Ponce,G
 Alexandra Lúgaro (MVC) ,"  7,538", 15.4  ,Ponce,G
 César Augusto Vázquez Muñiz (PD) ,"  3,991", 8.2  ,Ponce,G
 Eliezer Molina Pérez (Ind.) ,  338, 0.7,Ponce,G
Jenniffer González Colón (PNP) ,"  18,260", 38.6  ,Ponce,R
 Aníbal Acevedo Vilá (PPD) ,"  13,900", 29.4  ,Ponce,R
 Zayira Jordán Conde (MVC) ,"  6,777", 14.3  ,Ponce,R
 Ada Norah Henriquez (PD) ,"  4,606", 9.7  ,Ponce,R
 Luis Roberto Piñero (PIP) ,"  3,792", 8.0,Ponce,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,006", 39.8  ,Quebradillas,G
 Pedro Pierluisi (PNP) ,"  3,439", 34.2  ,Quebradillas,G
 Alexandra Lúgaro (MVC) ,"  1,001", 9.9  ,Quebradillas,G
 Juan Dalmau Ramírez (PIP) ,  935, 9.3  ,Quebradillas,G
 César Augusto Vázquez Muñiz (PD) ,  595, 5.9  ,Quebradillas,G
 Eliezer Molina Pérez (Ind.) ,  91, 0.9,Quebradillas,G
Jenniffer González Colón (PNP) ,"  4,119", 42.0  ,Quebradillas,R
 Aníbal Acevedo Vilá (PPD) ,"  3,767", 38.4  ,Quebradillas,R
 Zayira Jordán Conde (MVC) ,  868, 8.9  ,Quebradillas,R
 Ada Norah Henriquez (PD) ,  626, 6.4  ,Quebradillas,R
 Luis Roberto Piñero (PIP) ,  425, 4.3,Quebradillas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  2,590", 41.9  ,Rincón,G
 Pedro Pierluisi (PNP) ,"  1,634", 26.4  ,Rincón,G
 Alexandra Lúgaro (MVC) ,"  1,040", 16.8  ,Rincón,G
 Juan Dalmau Ramírez (PIP) ,  632, 10.2  ,Rincón,G
 César Augusto Vázquez Muñiz (PD) ,  206, 3.3  ,Rincón,G
 Eliezer Molina Pérez (Ind.) ,  77, 1.2 ,Rincón,G
Aníbal Acevedo Vilá (PPD) ,"  2,326", 39.6  ,Rincón,R
 Jenniffer González Colón (PNP) ,"  2,139", 36.4  ,Rincón,R
 Zayira Jordán Conde (MVC) ,  913, 15.5  ,Rincón,R
 Luis Roberto Piñero (PIP) ,  259, 4.4  ,Rincón,R
 Ada Norah Henriquez (PD) ,  244, 4.1,Rincón,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,592", 33.9  ,Río Grande,G
 Pedro Pierluisi (PNP) ,"  5,124", 31.1  ,Río Grande,G
 Alexandra Lúgaro (MVC) ,"  2,021", 12.2  ,Río Grande,G
 Juan Dalmau Ramírez (PIP) ,"  1,927", 11.7  ,Río Grande,G
 César Augusto Vázquez Muñiz (PD) ,"  1,706", 10.3  ,Río Grande,G
 Eliezer Molina Pérez (Ind.) ,  129, 0.8 ,Río Grande,G
Jenniffer González Colón (PNP) ,"  6,387", 40.2  ,Río Grande,R
 Aníbal Acevedo Vilá (PPD) ,"  5,157", 32.5  ,Río Grande,R
 Zayira Jordán Conde (MVC) ,"  1,750", 11.0  ,Río Grande,R
 Ada Norah Henriquez (PD) ,"  1,718", 10.8  ,Río Grande,R
 Luis Roberto Piñero (PIP) ,  870, 5.5,Río Grande,R
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,236", 44.4  ,Sabana Grande,G
 Pedro Pierluisi (PNP) ,"  2,594", 27.2  ,Sabana Grande,G
 Juan Dalmau Ramírez (PIP) ,"  1,195", 12.5  ,Sabana Grande,G
 Alexandra Lúgaro (MVC) ,"  1,088", 11.4  ,Sabana Grande,G
 César Augusto Vázquez Muñiz (PD) ,  362, 3.8  ,Sabana Grande,G
 Eliezer Molina Pérez (Ind.) ,  58, 0.6,Sabana Grande,G
 Aníbal Acevedo Vilá (PPD) ,"  3,924", 43.0  ,Sabana Grande,R
 Jenniffer González Colón (PNP) ,"  3,243", 35.6  ,Sabana Grande,R
 Zayira Jordán Conde (MVC) ,  973, 10.7  ,Sabana Grande,R
 Luis Roberto Piñero (PIP) ,  553, 6.1  ,Sabana Grande,R
 Ada Norah Henriquez (PD) ,  429, 4.7,Sabana Grande,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,753", 37.6  ,Salinas,G
 Pedro Pierluisi (PNP) ,"  3,186", 31.9  ,Salinas,G
 Alexandra Lúgaro (MVC) ,"  1,325", 13.3  ,Salinas,G
 Juan Dalmau Ramírez (PIP) ,"  1,218", 12.2  ,Salinas,G
 César Augusto Vázquez Muñiz (PD) ,  442, 4.4  ,Salinas,G
 Eliezer Molina Pérez (Ind.) ,  60, 0.6 ,Salinas,G
Jenniffer González Colón (PNP) ,"  3,887", 40.3  ,Salinas,R
 Aníbal Acevedo Vilá (PPD) ,"  3,611", 37.5  ,Salinas,R
 Zayira Jordán Conde (MVC) ,"  1,068", 11.1  ,Salinas,R
 Luis Roberto Piñero (PIP) ,  544, 5.6  ,Salinas,R
 Ada Norah Henriquez (PD) ,  531, 5.5,Salinas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,413", 34.3  ,San Germán,G
 Pedro Pierluisi (PNP) ,"  4,120", 32.0  ,San Germán,G
 Juan Dalmau Ramírez (PIP) ,"  1,857", 14.4  ,San Germán,G
 Alexandra Lúgaro (MVC) ,"  1,799", 14.0  ,San Germán,G
 César Augusto Vázquez Muñiz (PD) ,  603, 4.7  ,San Germán,G
 Eliezer Molina Pérez (Ind.) ,  91, 0.7 ,San Germán,G
Jenniffer González Colón (PNP) ,"  5,052", 41.0  ,San Germán,R
 Aníbal Acevedo Vilá (PPD) ,"  4,158", 33.7  ,San Germán,R
 Zayira Jordán Conde (MVC) ,"  1,582", 12.8  ,San Germán,R
 Luis Roberto Piñero (PIP) ,  851, 6.9  ,San Germán,R
 Ada Norah Henriquez (PD) ,  679, 5.5,San Germán,R
Pedro Pierluisi (PNP) ,"  41,184", 32.3  ,San Juan,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  32,108", 25.2  ,San Juan,G
 Juan Dalmau Ramírez (PIP) ,"  24,374", 19.1  ,San Juan,G
 Alexandra Lúgaro (MVC) ,"  23,816", 18.7  ,San Juan,G
 César Augusto Vázquez Muñiz (PD) ,"  5,448", 4.3  ,San Juan,G
 Eliezer Molina Pérez (Ind.) ,  685, 0.5,San Juan,G
Jenniffer González Colón (PNP) ,"  48,149", 38.5  ,San Juan,R
 Aníbal Acevedo Vilá (PPD) ,"  38,508", 30.8  ,San Juan,R
 Zayira Jordán Conde (MVC) ,"  21,230", 17.0  ,San Juan,R
 Luis Roberto Piñero (PIP) ,"  10,447", 8.4  ,San Juan,R
 Ada Norah Henriquez (PD) ,"  6,641", 5.3,San Juan,R
Pedro Pierluisi (PNP) ,"  5,687", 35.8  ,San Lorenzo,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  5,135", 32.4  ,San Lorenzo,G
 Alexandra Lúgaro (MVC) ,"  2,287", 14.4  ,San Lorenzo,G
 Juan Dalmau Ramírez (PIP) ,"  1,924", 12.1  ,San Lorenzo,G
 César Augusto Vázquez Muñiz (PD) ,  717, 4.5  ,San Lorenzo,G
 Eliezer Molina Pérez (Ind.) ,  120, 0.8,San Lorenzo,G
Jenniffer González Colón (PNP) ,"  6,785", 44.0  ,San Lorenzo,R
 Aníbal Acevedo Vilá (PPD) ,"  4,871", 31.6  ,San Lorenzo,R
 Zayira Jordán Conde (MVC) ,"  1,952", 12.7  ,San Lorenzo,R
 Luis Roberto Piñero (PIP) ,  906, 5.9  ,San Lorenzo,R
 Ada Norah Henriquez (PD) ,  906, 5.9,San Lorenzo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,657", 37.0  ,San Sebastián,G
 Pedro Pierluisi (PNP) ,"  5,092", 33.3  ,San Sebastián,G
 Alexandra Lúgaro (MVC) ,"  1,552", 10.2  ,San Sebastián,G
 Juan Dalmau Ramírez (PIP) ,"  1,544", 10.1  ,San Sebastián,G
 César Augusto Vázquez Muñiz (PD) ,"  1,163", 7.6  ,San Sebastián,G
 Eliezer Molina Pérez (Ind.) ,  269, 1.8 ,San Sebastián,G
Jenniffer González Colón (PNP) ,"  6,233", 42.3  ,San Sebastián,R
 Aníbal Acevedo Vilá (PPD) ,"  5,120", 34.8  ,San Sebastián,R
 Zayira Jordán Conde (MVC) ,"  1,377", 9.4  ,San Sebastián,R
 Ada Norah Henriquez (PD) ,"  1,213", 8.2  ,San Sebastián,R
 Luis Roberto Piñero (PIP) ,  779, 5.3,San Sebastián,R
Pedro Pierluisi (PNP) ,"  3,356", 35.4  ,Santa Isabel,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  3,293", 34.7  ,Santa Isabel,G
 Alexandra Lúgaro (MVC) ,"  1,227", 12.9  ,Santa Isabel,G
 Juan Dalmau Ramírez (PIP) ,"  1,023", 10.8  ,Santa Isabel,G
 César Augusto Vázquez Muñiz (PD) ,  529, 5.6  ,Santa Isabel,G
 Eliezer Molina Pérez (Ind.) ,  52, 0.5,Santa Isabel,G
Jenniffer González Colón (PNP) ,"  3,915", 43.3  ,Santa Isabel,R
 Aníbal Acevedo Vilá (PPD) ,"  3,085", 34.1  ,Santa Isabel,R
 Zayira Jordán Conde (MVC) ,"  1,014", 11.2  ,Santa Isabel,R
 Ada Norah Henriquez (PD) ,  605, 6.7  ,Santa Isabel,R
 Luis Roberto Piñero (PIP) ,  418, 4.6,Santa Isabel,R
Pedro Pierluisi (PNP) ,"  6,862", 30.5  ,Toa Alta,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  6,221", 27.6  ,Toa Alta,G
 Alexandra Lúgaro (MVC) ,"  3,824", 17.0  ,Toa Alta,G
 Juan Dalmau Ramírez (PIP) ,"  3,647", 16.2  ,Toa Alta,G
 César Augusto Vázquez Muñiz (PD) ,"  1,830", 8.1  ,Toa Alta,G
 Eliezer Molina Pérez (Ind.) ,  138, 0.6,Toa Alta,G
Jenniffer González Colón (PNP) ,"  8,372", 38.1  ,Toa Alta,R
 Aníbal Acevedo Vilá (PPD) ,"  6,485", 29.5  ,Toa Alta,R
 Zayira Jordán Conde (MVC) ,"  3,524", 16.0  ,Toa Alta,R
 Ada Norah Henriquez (PD) ,"  2,017", 9.2  ,Toa Alta,R
 Luis Roberto Piñero (PIP) ,"  1,585", 7.2,Toa Alta,R
Pedro Pierluisi (PNP) ,"  8,484", 31.9  ,Toa Baja,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  6,825", 25.6  ,Toa Baja,G
 Alexandra Lúgaro (MVC) ,"  4,554", 17.1  ,Toa Baja,G
 Juan Dalmau Ramírez (PIP) ,"  4,065", 15.3  ,Toa Baja,G
 César Augusto Vázquez Muñiz (PD) ,"  2,477", 9.3  ,Toa Baja,G
 Eliezer Molina Pérez (Ind.) ,  219, 0.8 ,Toa Baja,G
Jenniffer González Colón (PNP) ,"  10,425", 40.4  ,Toa Baja,R
 Aníbal Acevedo Vilá (PPD) ,"  6,943", 26.9  ,Toa Baja,R
 Zayira Jordán Conde (MVC) ,"  3,956", 15.3  ,Toa Baja,R
 Ada Norah Henriquez (PD) ,"  2,660", 10.3  ,Toa Baja,R
 Luis Roberto Piñero (PIP) ,"  1,809", 7.0,Toa Baja,R
Pedro Pierluisi (PNP) ,"  7,082", 28.7  ,Trujillo Alto,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  6,837", 27.7  ,Trujillo Alto,G
 Juan Dalmau Ramírez (PIP) ,"  4,491", 18.2  ,Trujillo Alto,G
 Alexandra Lúgaro (MVC) ,"  4,207", 17.1  ,Trujillo Alto,G
 César Augusto Vázquez Muñiz (PD) ,"  1,866", 7.6  ,Trujillo Alto,G
 Eliezer Molina Pérez (Ind.) ,  163, 0.7 ,Trujillo Alto,G
Jenniffer González Colón (PNP) ,"  8,786", 36.6  ,Trujillo Alto,R
 Aníbal Acevedo Vilá (PPD) ,"  7,233", 30.1  ,Trujillo Alto,R
 Zayira Jordán Conde (MVC) ,"  3,858", 16.1  ,Trujillo Alto,R
 Ada Norah Henriquez (PD) ,"  2,084", 8.7  ,Trujillo Alto,R
 Luis Roberto Piñero (PIP) ,"  2,066", 8.6,Trujillo Alto,R
Pedro Pierluisi (PNP) ,"  4,624", 38.4  ,Utuado,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,470", 37.1  ,Utuado,G
 César Augusto Vázquez Muñiz (PD) ,"  1,037", 8.6  ,Utuado,G
 Juan Dalmau Ramírez (PIP) ,"  1,003", 8.3  ,Utuado,G
 Alexandra Lúgaro (MVC) ,  820, 6.8  ,Utuado,G
 Eliezer Molina Pérez (Ind.) ,  103, 0.9,Utuado,G
Jenniffer González Colón (PNP) ,"  5,331", 45.6  ,Utuado,R
 Aníbal Acevedo Vilá (PPD) ,"  4,091", 35.0  ,Utuado,R
 Ada Norah Henriquez (PD) ,"  1,008", 8.6  ,Utuado,R
 Zayira Jordán Conde (MVC) ,  791, 6.8  ,Utuado,R
 Luis Roberto Piñero (PIP) ,  463, 4.0,Utuado,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,099", 32.5  ,Vega Alta,G
 Pedro Pierluisi (PNP) ,"  4,090", 32.5  ,Vega Alta,G
 Alexandra Lúgaro (MVC) ,"  1,672", 13.3  ,Vega Alta,G
 Juan Dalmau Ramírez (PIP) ,"  1,461", 11.6  ,Vega Alta,G
 César Augusto Vázquez Muñiz (PD) ,"  1,187", 9.4  ,Vega Alta,G
 Eliezer Molina Pérez (Ind.) ,  85, 0.7,Vega Alta,G
Jenniffer González Colón (PNP) ,"  4,963", 40.6  ,Vega Alta,R
 Aníbal Acevedo Vilá (PPD) ,"  4,018", 32.9  ,Vega Alta,R
 Zayira Jordán Conde (MVC) ,"  1,432", 11.7  ,Vega Alta,R
 Ada Norah Henriquez (PD) ,"  1,193", 9.8  ,Vega Alta,R
 Luis Roberto Piñero (PIP) ,  613, 5.0  ,Vega Alta,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  6,302", 33.4  ,Vega Baja,G
 Pedro Pierluisi (PNP) ,"  5,473", 29.0  ,Vega Baja,G
 Alexandra Lúgaro (MVC) ,"  2,664", 14.1  ,Vega Baja,G
 Juan Dalmau Ramírez (PIP) ,"  2,393", 12.7  ,Vega Baja,G
 César Augusto Vázquez Muñiz (PD) ,"  1,891", 10.0  ,Vega Baja,G
 Eliezer Molina Pérez (Ind.) ,  137, 0.7,Vega Baja,G
Jenniffer González Colón (PNP) ,"  6,804", 37.1  ,Vega Baja,R
 Aníbal Acevedo Vilá (PPD) ,"  6,191", 33.8  ,Vega Baja,R
 Zayira Jordán Conde (MVC) ,"  2,290", 12.5  ,Vega Baja,R
 Ada Norah Henriquez (PD) ,"  1,927", 10.5  ,Vega Baja,R
 Luis Roberto Piñero (PIP) ,"  1,106", 6.0,Vega Baja,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  1,285", 39.9  ,Vieques,G
 Pedro Pierluisi (PNP) ,  986, 30.6  ,Vieques,G
 Alexandra Lúgaro (MVC) ,  412, 12.8  ,Vieques,G
 Juan Dalmau Ramírez (PIP) ,  310, 9.6  ,Vieques,G
 César Augusto Vázquez Muñiz (PD) ,  124, 3.9  ,Vieques,G
 Eliezer Molina Pérez (Ind.) ,  100, 3.1 ,Vieques,G
Aníbal Acevedo Vilá (PPD) ,"  1,166", 39.1  ,Vieques,R
 Jenniffer González Colón (PNP) ,"  1,126", 37.8  ,Vieques,R
 Zayira Jordán Conde (MVC) ,  357, 12.0  ,Vieques,R
 Luis Roberto Piñero (PIP) ,  177, 5.9  ,Vieques,R
 Ada Norah Henriquez (PD) ,  155, 5.2,Vieques,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,034", 41.2  ,Villalba,G
 Pedro Pierluisi (PNP) ,"  4,567", 37.4  ,Villalba,G
 Alexandra Lúgaro (MVC) ,"  1,176", 9.6  ,Villalba,G
 Juan Dalmau Ramírez (PIP) ,  964, 7.9  ,Villalba,G
 César Augusto Vázquez Muñiz (PD) ,  412, 3.4  ,Villalba,G
 Eliezer Molina Pérez (Ind.) ,  62, 0.5,Villalba,G
Jenniffer González Colón (PNP) ,"  5,174", 43.7  ,Villalba,R
 Aníbal Acevedo Vilá (PPD) ,"  4,756", 40.2  ,Villalba,R
 Zayira Jordán Conde (MVC) ,  972, 8.2  ,Villalba,R
 Ada Norah Henriquez (PD) ,  480, 4.1  ,Villalba,R
 Luis Roberto Piñero (PIP) ,  454, 3.8,Villalba,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,994", 40.5  ,Yabucoa,G
 Pedro Pierluisi (PNP) ,"  5,384", 36.3  ,Yabucoa,G
 Alexandra Lúgaro (MVC) ,"  1,463", 9.9  ,Yabucoa,G
 Juan Dalmau Ramírez (PIP) ,"  1,317", 8.9  ,Yabucoa,G
 César Augusto Vázquez Muñiz (PD) ,  588, 4.0  ,Yabucoa,G
 Eliezer Molina Pérez (Ind.) ,  69, 0.5,Yabucoa,G
Jenniffer González Colón (PNP) ,"  6,080", 42.7  ,Yabucoa,R
 Aníbal Acevedo Vilá (PPD) ,"  5,623", 39.5  ,Yabucoa,R
 Zayira Jordán Conde (MVC) ,"  1,147", 8.0  ,Yabucoa,R
 Ada Norah Henriquez (PD) ,  792, 5.6  ,Yabucoa,R
 Luis Roberto Piñero (PIP) ,  607, 4.3,Yabucoa,R
Pedro Pierluisi (PNP) ,"  5,122", 36.0  ,Yauco,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,353", 30.6  ,Yauco,G
 Juan Dalmau Ramírez (PIP) ,"  2,011", 14.1  ,Yauco,G
 Alexandra Lúgaro (MVC) ,"  1,911", 13.4  ,Yauco,G
 César Augusto Vázquez Muñiz (PD) ,  747, 5.2  ,Yauco,G
 Eliezer Molina Pérez (Ind.) ,  93, 0.7,Yauco,G
Jenniffer González Colón (PNP) ,"  5,975", 43.6  ,Yauco,R
 Aníbal Acevedo Vilá (PPD) ,"  4,216", 30.8  ,Yauco,R
 Zayira Jordán Conde (MVC) ,"  1,737", 12.7  ,Yauco,R
 Luis Roberto Piñero (PIP) ,  889, 6.5  ,Yauco,R
 Ada Norah Henriquez (PD) ,  873, 6.4,Yauco,R